Price,Acreage,Amenities_rating,Floors,days_since_min,Rooms,Distance_to_center
3.95,26,6.0,3,387,5,1.6595280188994603
14.0,45,4.8,2,386,11,3.023717385504793
6.5,36,6.0,3,386,6,3.023717385504793
13.0,55,6.0,2,386,8,9.358332682661967
3.35,42,4.8,1,386,4,6.123687141073059
4.35,50,6.0,2,386,5,9.358332682661967
3.3,75,4.8,3,386,6,4.0356978692720755
5.2,60,6.0,2,386,6,3.0254023126260323
4.16,41,0.0,2,386,4,5.204464978347499
5.3,48,1.5,3,386,7,10.527530422973213
4.9,44,4.8,3,386,7,10.527530422973213
13.5,102,4.8,3,386,8,3.1355309029100744
4.35,52,3.0,3,386,7,9.358332682661967
7.28,108,1.5,4,386,9,10.527530422973213
3.5,34,3.3,1,386,4,5.609554429497919
6.0,55,4.8,4,386,8,7.467894688725249
2.5,31,3.0,2,386,4,10.240431817143143
5.8,30,4.2,2,386,6,6.9247897538086844
5.3,80,4.8,2,386,6,7.621127302391137
2.7,36,3.3,3,386,5,3.1355309029100744
5.88,76,4.8,2,384,9,10.527530422973213
5.7,80,3.3,2,384,4,5.609554429497919
6.5,85,6.0,2,385,7,2.7855683376066063
5.5,55,4.8,3,385,10,7.176723444190649
10.28,100,3.3,2,385,10,7.492016428368164
4.7,55,4.8,2,385,4,5.5862517112339924
10.28,88,4.8,4,385,7,10.527530422973213
5.5,59,4.2,4,385,8,5.609554429497919
5.8,53,4.8,4,385,8,4.064113191301924
14.0,45,4.8,2,385,10,3.023717385504793
5.0,84,2.7,2,385,5,3.1355309029100744
5.0,37,6.0,4,385,6,3.023717385504793
3.1,40,3.0,2,385,5,10.351203312482767
3.9,33,1.5,2,384,4,3.82785021692461
6.6,60,3.0,2,384,4,3.5799876807870485
2.55,57,2.7,1,384,3,10.240431817143143
3.0,72,4.2,2,384,5,7.163038112902075
4.3,40,6.0,3,384,6,6.929494921030836
11.4,45,6.0,2,384,9,3.522923581829879
10.2,91,4.8,4,384,9,4.064113191301924
6.0,67,2.7,2,384,7,12.276670971113262
4.5,45,6.0,4,384,8,4.826370752611463
3.6,72,4.2,2,384,5,7.163038112902075
4.0,49,3.3,1,384,4,7.621127302391137
2.6,50,4.8,3,382,5,3.258764914012
8.0,90,4.8,3,382,9,7.082372303573035
2.3,24,4.8,3,382,5,7.804553092742018
6.0,82,3.3,4,382,10,3.9290021517962006
5.4,51,1.5,3,382,7,7.031684224173031
5.5,49,4.2,3,382,5,7.031684224173031
1.6,20,1.5,1,382,4,11.931112392656471
8.5,62,3.3,3,382,9,5.953037445208633
5.0,60,4.8,4,382,8,5.221615524219777
3.6,40,4.8,2,383,5,8.226154501035758
2.55,52,3.3,2,383,3,10.496238861697938
6.5,45,4.8,2,383,9,4.0697559057088295
5.1,48,1.5,3,383,7,7.621127302391137
5.8,94,4.8,3,383,5,3.9290021517962006
6.0,85,4.8,3,383,10,3.9290021517962006
3.6,27,1.5,2,383,5,5.609554429497919
5.9,47,4.2,4,383,8,4.064113191301924
5.6,72,6.0,1,383,12,8.62080058303878
9.5,85,6.0,3,383,7,2.6514590328759553
3.55,37,1.5,2,383,6,7.621127302391137
5.4,55,2.7,2,384,4,7.621127302391137
6.2,70,4.8,4,384,7,3.294632599631027
8.3,77,4.8,3,384,9,9.358332682661967
2.55,61,4.2,3,384,8,1.0033381358797573
6.3,109,6.0,2,384,6,9.358332682661967
5.5,67,6.0,3,384,5,9.358332682661967
4.5,75,6.0,3,384,5,9.358332682661967
4.37,28,4.8,2,381,6,3.294632599631027
12.9,98,3.3,2,381,14,4.064113191301924
3.9,92,4.8,3,381,5,3.3787177599464893
6.8,60,4.2,4,381,8,7.621127302391137
2.75,52,3.0,1,381,3,9.358332682661967
6.28,55,4.8,2,381,6,7.031684224173031
6.28,85,6.0,2,381,13,7.031684224173031
2.5,55,4.8,1,381,5,3.1355309029100744
2.7,68,1.5,2,381,5,9.358332682661967
6.4,60,4.8,3,382,7,6.9247897538086844
4.0,56,4.8,3,382,7,6.9247897538086844
6.0,58,4.8,2,381,6,7.621127302391137
6.6,75,6.0,4,381,8,3.294632599631027
2.5,57,4.8,3,381,5,19.88905339366906
7.5,50,4.8,1,381,3,9.11083711946321
4.6,44,6.0,4,381,8,9.121850715074856
2.3,34,4.2,2,381,5,5.609554429497919
5.5,55,4.8,3,380,6,9.358332682661967
5.7,52,3.3,2,380,12,10.527530422973213
6.9,60,4.8,3,380,7,3.294632599631027
11.0,55,4.5,2,380,6,4.9399454906497615
5.98,72,3.3,2,380,6,8.62080058303878
3.5,44,2.7,3,380,5,6.9247897538086844
5.3,112,1.8,2,380,12,3.1355309029100744
5.2,40,6.0,2,380,7,7.211063019198964
7.8,89,3.3,2,380,6,7.031684224173031
6.68,80,4.2,4,380,8,7.621127302391137
7.3,112,4.2,4,380,8,5.609554429497919
2.25,45,3.0,2,380,4,1.0033381358797573
2.35,50,4.5,3,380,6,2.127430944469688
6.9,60,4.2,3,380,7,4.064113191301924
5.2,65,4.8,2,380,9,10.527530422973213
14.0,80,4.8,3,380,8,5.1249943780676155
8.28,80,1.5,2,379,9,7.621127302391137
5.8,55,6.0,2,379,4,4.064113191301924
3.5,52,3.0,1,379,4,7.621127302391137
1.9,32,3.3,2,379,4,3.294632599631027
6.5,81,4.8,2,379,8,4.064113191301924
4.8,60,1.5,3,379,9,6.495211523686947
5.0,60,4.8,3,379,7,9.358332682661967
7.9,56,4.5,3,379,13,3.231962819459815
2.0,30,1.5,2,379,2,7.945889583331053
10.9,120,4.8,2,379,10,7.621127302391137
6.2,70,1.5,3,379,7,9.543217643357233
4.85,120,4.8,2,379,5,10.527530422973213
1.7,17,0.0,2,378,3,14.1856077798115
6.6,48,1.5,4,378,8,3.294632599631027
3.3,52,2.7,2,378,5,3.1355309029100744
5.9,44,4.5,3,378,7,3.230931057384702
9.0,80,3.3,3,378,7,2.544566904760919
4.8,40,6.0,4,377,6,10.814015842385082
5.7,68,4.8,4,377,10,6.9247897538086844
4.8,56,6.0,3,377,11,6.9247897538086844
9.38,100,3.3,4,377,9,7.621127302391137
4.675000000000001,88,4.2,3,377,7,10.042410909676594
3.1,20,2.7,2,377,2,6.9247897538086844
5.2,73,4.8,1,377,10,9.650401301549396
5.5,33,3.0,2,378,9,5.609554429497919
11.5,95,4.8,4,378,11,8.87359545069024
5.8,50,6.0,4,378,7,4.064113191301924
5.4,63,1.5,2,378,4,5.510718742135019
2.65,46,4.2,3,377,7,4.417086378088909
3.5,30,4.8,2,377,4,3.1289120454351944
7.38,100,4.8,3,377,7,10.527530422973213
6.5,54,3.3,3,377,9,10.137848716703981
5.7,90,3.3,1,377,6,11.477219733711115
8.88,88,4.8,3,377,9,10.62395909413569
2.75,58,4.8,3,377,11,9.021275173915805
4.0,70,2.7,2,371,5,10.527530422973213
5.8,70,4.8,3,375,7,9.358332682661967
9.98,55,4.8,2,376,6,10.527530422973213
2.45,47,3.3,4,376,10,1.0033381358797573
4.8,38,3.3,2,376,4,4.064113191301924
4.2,50,4.8,2,376,4,4.064113191301924
4.7,65,3.0,4,376,10,9.624884835685796
5.3,40,6.0,2,376,4,4.064113191301924
6.0,81,3.3,4,376,9,12.036628139887247
3.0,45,2.7,2,376,4,5.700976069814315
3.0,36,4.5,2,376,4,10.137848716703981
5.8,65,6.0,2,376,5,8.927697086168749
6.5,55,3.0,3,376,9,10.62395909413569
4.0,45,4.8,3,376,7,7.621127302391137
12.68,80,1.5,2,375,10,7.031684224173031
4.9,64,4.8,2,375,4,10.527530422973213
3.5,38,4.8,1,375,4,5.609554429497919
3.8,50,4.8,2,375,5,3.294632599631027
5.3,85,4.8,2,375,5,9.358332682661967
5.6,58,3.3,2,375,5,14.351371291861508
5.2,75,4.8,4,368,9,9.650401301549396
5.8,60,6.0,3,374,6,10.308033118823039
8.1,65,4.2,3,374,7,9.358332682661967
3.75,39,3.0,2,374,4,8.928275672256062
6.28,55,4.8,1,374,8,7.753552672061483
14.0,55,6.0,1,374,10,10.527530422973213
5.7,60,6.0,2,374,4,4.064113191301924
4.9,55,1.5,1,374,3,14.351371291861508
3.0,48,6.0,1,374,3,6.9247897538086844
4.0,45,4.8,3,375,6,8.227409154828935
10.7,64,3.0,3,375,6,7.413485443470874
6.4,53,4.8,3,375,6,9.883424325046047
10.7,70,4.8,2,375,11,6.9247897538086844
4.4,43,4.8,2,372,7,5.609554429497919
12.5,65,4.8,3,374,8,5.42437050571318
7.0,50,4.8,4,374,7,6.9247897538086844
6.28,110,3.0,2,374,9,7.031684224173031
6.99,68,4.5,2,374,7,14.085782084956817
1.45,36,6.0,2,374,6,2.5630002947631243
4.1,40,6.0,2,374,5,4.064113191301924
6.8,42,3.3,3,374,7,4.303591335160318
1.99,30,6.0,1,374,3,4.064113191301924
6.7,72,1.5,4,374,8,6.9247897538086844
2.29,37,1.5,2,373,7,3.527013568080832
4.95,54,4.8,3,373,6,6.162837199879194
2.7,42,2.7,2,373,4,10.240431817143143
8.0,104,4.8,3,373,8,9.358332682661967
2.35,42,6.0,2,373,7,4.064113191301924
3.7,70,6.0,2,373,5,4.064113191301924
6.68,80,6.0,3,373,6,9.363746821782087
7.0,76,6.0,3,373,8,6.9247897538086844
4.7,55,4.2,2,373,11,10.527530422973213
6.28,55,3.0,4,373,6,7.741902009525506
5.0,75,2.7,1,373,9,3.1355309029100744
2.65,57,6.0,2,373,7,3.294632599631027
4.2,60,6.0,2,373,5,4.064113191301924
6.68,78,4.8,2,373,9,10.527530422973213
6.5,82,4.8,3,374,7,7.621127302391137
5.3,78,3.3,2,372,5,5.609554429497919
4.7,63,6.0,2,372,3,10.114299213735965
5.7,62,4.8,2,372,6,4.0647410836552105
5.38,78,2.7,2,372,5,10.369028093322836
3.4,45,4.8,2,372,3,4.064113191301924
6.68,78,4.8,4,372,8,10.527530422973213
6.2,60,4.2,3,372,7,5.609554429497919
10.58,80,3.3,4,372,8,7.031684224173031
4.2,55,1.8,1,372,5,11.68882742918935
1.6,15,4.5,2,372,2,6.9247897538086844
7.0,66,4.2,3,372,7,10.910000776599015
4.2,48,4.2,3,372,5,7.789170234312453
9.1,120,4.8,3,372,12,4.362087070590153
7.2,56,3.0,1,372,5,2.1582165483192317
4.975,67,4.8,3,372,10,1.0033381358797573
3.8,40,6.0,2,371,4,4.970813087870796
13.5,61,4.8,3,371,7,5.41933170388819
3.3,51,2.7,2,371,5,3.1355309029100744
4.2,55,1.5,1,371,3,5.609554429497919
2.29,34,4.8,3,371,7,4.064113191301924
6.0,60,6.0,2,371,5,10.910000776599015
4.2,55,3.3,1,371,3,5.609554429497919
4.9,60,6.0,2,371,7,9.358332682661967
7.3,56,1.5,3,371,12,4.064113191301924
11.8,55,1.5,1,371,2,7.527835337652769
6.1,72,4.8,4,371,11,10.527530422973213
5.88,80,4.8,4,371,8,10.527530422973213
6.0,55,4.8,3,371,10,12.463610643565753
13.3,75,4.8,2,370,12,6.9247897538086844
4.9,88,6.0,1,370,6,12.089377321657945
4.6,64,3.0,1,370,6,12.184079753350614
7.0,52,6.0,3,370,7,4.064113191301924
4.7,40,6.0,2,370,4,4.064113191301924
6.2,64,4.8,4,370,9,10.527530422973213
4.3,105,1.5,2,370,7,4.064113191301924
5.3,57,1.5,2,370,5,8.154934469568547
4.0,76,4.8,2,370,4,11.230729488266162
6.88,68,4.8,4,370,8,10.527530422973213
5.58,96,4.8,3,370,6,10.527530422973213
6.8,70,2.7,1,371,4,5.4095763301403705
3.3,22,4.2,3,370,5,3.4282014637818112
12.38,90,1.5,2,369,9,7.621127302391137
9.68,86,4.2,4,370,8,5.609554429497919
4.8,38,1.5,2,370,4,5.572999341697547
4.2,35,4.8,3,370,5,2.928158257291061
4.98,75,3.3,4,370,9,3.1355309029100744
2.1,12,3.0,2,370,3,3.5799876807870485
4.6,52,3.3,2,370,6,5.609554429497919
2.85,28,4.5,2,370,3,7.211063019198964
2.95,21,6.0,2,370,4,3.4606641519698815
4.6,52,4.8,2,370,6,5.609554429497919
11.5,84,4.8,2,370,6,10.527530422973213
6.0,49,1.5,3,370,8,4.063896900456503
4.8,48,6.0,2,370,5,7.4425190442591855
5.7,80,6.0,4,370,7,4.934125054393464
3.2,30,3.3,2,370,4,5.5862517112339924
2.75,40,6.0,2,368,5,2.3086017498758182
6.3,67,4.8,3,368,9,8.37674110500201
4.98,50,6.0,2,368,6,6.9247897538086844
7.9,120,4.8,3,368,8,10.527530422973213
8.0,80,3.3,3,368,8,5.700976069814315
2.29,20,1.5,3,368,4,5.609554429497919
6.2,76,6.0,2,368,3,11.776683628280988
4.2,47,4.8,2,368,8,4.064113191301924
3.899,55,3.3,1,460,3,10.137848716703981
6.95,80,4.8,2,458,6,4.486258207814924
4.0,33,4.8,3,458,6,4.064113191301924
12.8,75,2.7,4,458,11,2.1360643420744605
8.99,85,1.5,2,458,10,7.621127302391137
6.9,80,3.0,1,458,12,5.71224894087829
6.9,80,1.5,4,459,8,3.9290021517962006
6.1,57,2.7,4,459,7,8.978291097023943
4.69,31,4.8,3,459,7,7.621127302391137
8.3,80,4.8,3,459,9,14.135809531714393
3.35,50,4.8,2,459,4,7.621127302391137
9.9,94,4.8,3,460,7,8.986732772684467
2.95,36,1.5,2,460,4,7.621127302391137
7.4,55,6.0,4,457,10,3.294632599631027
5.1,60,4.2,2,457,5,1.0033381358797573
4.55,48,4.8,4,457,9,10.527530422973213
6.9,80,4.8,4,457,8,7.078024205811729
3.35,35,4.8,2,457,4,9.358332682661967
4.3,50,6.0,3,457,7,5.700976069814315
10.9,57,4.2,2,457,7,6.9247897538086844
4.9,56,6.0,1,451,4,5.609554429497919
4.7,50,4.2,2,451,5,6.9247897538086844
6.25,42,1.5,4,451,6,6.9247897538086844
5.0,44,2.7,2,451,4,4.167444143008261
7.5,85,3.0,2,451,4,6.9247897538086844
5.38,80,3.0,3,451,8,10.527530422973213
9.3,80,6.0,4,452,8,7.3783066774245185
4.3,40,1.5,2,452,5,6.9247897538086844
5.5,55,1.5,2,452,8,9.358332682661967
8.9,61,3.0,2,452,10,7.621127302391137
5.7,96,4.8,2,452,2,7.621127302391137
7.0,55,6.0,4,453,9,8.49990886349249
5.9,55,6.0,1,453,8,4.064113191301924
5.78,37,1.5,4,453,11,4.064113191301924
2.4,40,4.2,2,453,4,12.434143511048383
6.6,65,2.7,2,454,11,12.913676111671554
6.5,68,4.8,4,454,9,10.527530422973213
4.85,63,4.8,3,454,7,11.074635093704
5.5,66,6.0,1,454,2,7.380191016279196
7.0,72,4.2,2,455,6,3.023717385504793
5.9,65,3.0,3,455,7,7.621127302391137
5.4,98,4.8,2,457,9,7.621127302391137
5.8,52,4.5,4,455,11,6.9247897538086844
3.65,22,1.5,3,455,4,2.9717646214761326
6.18,72,4.8,4,455,11,10.527530422973213
10.9,101,3.3,1,456,4,5.662751597500179
5.3,50,6.0,2,456,10,4.064113191301924
4.2,49,4.8,4,456,10,7.621127302391137
5.2,57,4.5,2,456,5,6.9247897538086844
4.8,40,4.2,4,456,5,7.621127302391137
2.8,28,1.5,3,451,4,5.609554429497919
3.7,89,6.0,2,244,4,13.38745812852577
6.6,72,3.0,3,428,10,6.9247897538086844
5.1,64,6.0,3,428,8,6.9247897538086844
7.0,55,1.5,2,428,7,10.825845784806239
3.7,75,4.5,2,428,5,9.650401301549396
4.6,22,4.8,2,429,7,3.294632599631027
4.7,55,4.2,2,429,10,10.527530422973213
5.5,55,4.2,2,429,6,14.156396161063373
5.9,44,0.0,2,429,2,5.197762532810751
5.49,30,1.5,2,429,4,5.609554429497919
4.2,39,1.5,3,429,6,5.221615524219777
5.5,55,4.8,4,429,6,11.49608004301175
6.8,65,2.7,3,429,9,10.65024798291035
4.4,74,2.7,2,429,5,5.609554429497919
5.5,76,6.0,4,429,8,7.621127302391137
6.0,55,4.2,3,429,7,10.124900558777611
3.9,60,4.8,2,430,5,4.064113191301924
2.39,34,1.5,2,430,4,6.9247897538086844
9.8,56,4.8,2,430,10,5.9107535372031075
5.0,98,0.0,1,430,6,9.358332682661967
5.5,40,2.7,4,430,6,7.621127302391137
4.5,46,6.0,3,430,7,9.358332682661967
12.99,90,4.8,4,430,6,3.023717385504793
7.2,88,6.0,3,430,13,8.301434738365527
6.5,56,4.8,3,430,8,5.163061757247307
6.3,59,4.8,2,430,9,6.158711434086682
4.6,96,4.2,1,430,4,3.6831890193480885
13.6,80,4.8,2,430,11,6.9247897538086844
5.0,51,4.8,2,430,7,7.621127302391137
11.0,80,3.3,2,430,11,7.621127302391137
3.0,61,1.5,2,430,3,7.628966538107101
3.9,40,1.5,2,430,6,7.396943353911295
3.8,76,1.5,1,430,7,10.376833925702106
5.0,50,4.8,3,430,7,12.628927530127275
4.8,90,1.5,1,431,3,9.361848495271781
4.2,64,4.2,3,431,6,8.978291097023943
3.5,42,4.8,2,431,4,5.5862517112339924
7.2,56,4.8,1,431,4,7.4425190442591855
4.0,40,4.2,3,431,6,11.583870894215998
5.0,50,4.8,3,431,7,12.182025365005888
2.9,44,4.8,2,431,4,10.527530422973213
5.5,50,4.5,2,432,6,8.72838713291387
1.9,18,6.0,3,432,3,3.637058881302865
3.15,89,6.0,1,432,5,12.107806224225074
4.675000000000001,55,3.3,1,432,4,3.1355309029100744
2.49,22,1.5,1,432,4,5.609554429497919
7.8,120,2.7,3,432,6,7.621127302391137
7.8,45,4.8,4,432,6,6.058497137003884
5.7,81,4.2,2,432,8,7.621127302391137
4.5,42,3.0,3,432,4,6.9247897538086844
4.8,55,6.0,4,432,7,5.197762532810751
2.8,42,3.0,2,432,4,9.347757315241083
4.55,94,4.8,1,433,3,12.1670026476009
5.5,93,4.2,2,433,9,9.418653578000788
8.5,58,4.8,4,433,11,2.693510308835266
5.4,55,4.8,3,433,8,7.621127302391137
5.4,45,3.3,4,433,9,4.064113191301924
4.9,56,6.0,4,433,7,5.9107535372031075
13.0,55,1.5,2,433,7,8.060280522993198
4.5,45,4.8,3,433,7,9.78774591371332
4.6,35,4.2,2,433,5,6.9247897538086844
5.4,76,4.2,3,433,6,9.884404593075356
5.4,100,3.0,3,434,11,7.621127302391137
4.9,42,4.8,3,434,7,6.9247897538086844
8.8,75,1.5,2,434,2,6.158711434086682
8.7,54,3.0,4,434,2,3.9290021517962006
4.15,58,4.8,2,434,5,13.103828049360155
9.6,52,1.5,2,434,4,5.9107535372031075
5.4,40,4.8,2,434,7,3.294632599631027
6.5,55,1.8,4,434,11,5.609554429497919
6.9,80,3.0,2,434,10,5.951424529689243
3.7,39,4.5,1,434,4,7.621127302391137
4.7,55,4.8,3,434,9,8.122502135323707
4.75,40,3.0,2,434,4,4.064113191301924
5.6,62,1.5,2,434,5,9.358332682661967
3.8,100,1.5,2,434,7,17.306262630546485
13.9,80,6.0,1,434,10,7.621127302391137
4.5,35,3.0,4,435,6,5.609554429497919
10.0,64,4.2,4,435,8,7.30585922121529
2.6,60,4.2,2,435,4,9.358332682661967
10.5,60,3.0,4,435,8,7.428941042902433
5.5,55,6.0,3,435,6,3.294632599631027
7.68,115,4.8,3,435,7,7.621127302391137
4.675000000000001,55,6.0,2,435,10,3.1355309029100744
8.5,78,3.0,4,435,9,6.9247897538086844
6.0,65,1.5,2,435,5,10.65024798291035
3.4,60,6.0,2,435,7,5.100642025604369
3.55,84,6.0,1,435,5,5.700976069814315
6.68,43,4.2,4,435,7,9.321157564850765
8.6,60,4.8,4,436,9,6.9247897538086844
1.9,27,0.0,2,436,3,5.609554429497919
5.7,42,6.0,2,436,11,4.064113191301924
10.3,64,4.8,4,436,6,7.621127302391137
5.4,60,4.8,4,436,8,7.428941042902433
5.4,60,3.0,4,436,8,7.30585922121529
6.9,80,4.8,2,436,8,3.9290021517962006
9.68,86,4.8,2,436,9,10.527530422973213
4.8,65,6.0,2,436,7,9.191650692833877
6.9,80,4.8,3,436,8,5.71224894087829
10.0,80,3.3,2,436,4,5.609554429497919
11.0,80,4.8,4,436,11,4.237231589423591
3.7,44,3.0,2,436,4,6.9247897538086844
8.9,55,4.8,3,436,11,4.055490896391994
11.0,62,4.2,3,437,7,2.557164923034746
8.0,90,4.2,1,437,10,9.358332682661967
4.0,70,3.3,2,437,5,3.1355309029100744
13.6,86,4.8,4,437,6,7.428941042902433
5.4,55,1.5,2,437,2,7.30585922121529
4.98,53,6.0,2,437,7,7.031684224173031
3.1,31,3.0,2,437,4,6.9247897538086844
13.6,86,2.7,4,437,6,7.173580955831189
3.4,45,3.3,2,437,5,6.123687141073059
4.9,55,4.8,3,437,6,7.621127302391137
4.85,47,6.0,4,437,6,2.8500849195266973
3.6,102,1.5,2,437,5,13.493593892497175
4.9,95,4.8,2,437,5,9.624884835685796
5.0,35,4.8,3,438,5,5.197762532810751
5.1,66,4.8,3,438,7,9.650401301549396
3.8,25,4.8,2,438,3,3.023717385504793
3.6,44,4.8,3,438,5,9.956327589255476
4.1,62,1.5,2,438,6,9.358332682661967
3.7,50,2.7,2,439,5,3.1355309029100744
4.8,50,4.2,2,439,5,6.9247897538086844
5.38,68,4.2,4,439,8,7.621127302391137
4.2,56,4.2,1,439,4,7.621127302391137
5.0,77,6.0,2,440,7,6.058497137003884
4.9,50,4.8,3,440,7,12.025236297697397
6.9,80,4.8,2,440,8,3.9290021517962006
4.6,53,2.7,3,440,7,15.243178176839077
3.3,48,4.8,2,440,4,7.621127302391137
4.9,50,4.8,3,440,7,3.1355309029100744
4.0,44,4.2,3,441,7,11.698373540151477
3.9,52,4.5,1,441,3,5.510718742135019
4.35,55,3.0,2,441,4,5.856132167721989
6.9,80,3.0,4,441,10,5.71224894087829
3.3,62,4.5,2,441,4,2.1360643420744605
7.5,46,1.5,2,441,3,3.9290021517962006
6.99,48,4.2,3,441,9,9.563127384633702
6.85,72,3.0,1,442,6,7.621127302391137
9.0,73,4.8,4,442,11,9.158571576780725
6.9,80,6.0,3,442,9,5.489926543245246
4.9,60,6.0,2,442,6,4.064113191301924
3.3,56,3.3,2,442,4,9.358332682661967
7.85,60,6.0,1,442,2,5.700976069814315
3.3,42,1.5,2,442,4,2.1360643420744605
3.0,30,3.3,2,442,4,5.609554429497919
5.1,77,4.8,2,442,7,5.609554429497919
9.9,61,6.0,2,443,3,3.9290021517962006
6.9,55,3.3,1,443,2,3.9290021517962006
5.5,55,4.8,3,443,9,9.358332682661967
8.79,81,6.0,4,443,10,8.326185031418131
5.9,28,2.7,4,443,8,2.1360643420744605
7.5,32,2.7,2,443,7,2.1360643420744605
4.5,80,1.5,4,443,11,10.240431817143143
7.5,67,3.3,3,444,11,7.223673437739232
4.2,60,4.8,4,444,8,3.1289120454351944
9.5,51,4.2,4,444,13,4.605522789189585
3.5,56,4.5,1,444,4,5.700976069814315
10.9,80,4.2,4,444,9,5.700976069814315
4.9,50,3.3,2,444,4,4.064113191301924
2.1,40,4.8,2,445,4,9.358332682661967
7.5,46,3.0,1,445,3,3.9290021517962006
6.38,68,4.2,2,445,12,10.527530422973213
6.6,42,3.0,4,445,9,6.9247897538086844
7.38,70,4.2,4,445,8,7.621127302391137
4.3,75,6.0,2,446,4,10.527530422973213
4.9,60,4.8,3,446,6,4.064113191301924
3.59,60,4.8,2,446,4,3.023717385504793
3.8,56,2.7,3,447,6,10.527530422973213
7.2,55,4.5,2,447,10,4.064113191301924
3.2,30,3.0,3,447,6,8.876832338786935
5.5,55,4.8,2,448,9,9.358332682661967
5.074999999999999,73,1.5,2,448,7,2.6545958908044467
7.9,40,2.7,2,448,4,5.403038358733376
5.8,60,6.0,2,448,6,10.496238861697938
5.0,40,6.0,3,448,6,4.167444143008261
5.1,52,1.5,3,448,6,4.064113191301924
5.38,75,2.7,4,448,8,10.527530422973213
0.85,60,0.0,1,449,5,18.48350220489727
7.4,45,6.0,2,449,4,4.94845507455389
7.4,45,4.8,2,449,7,3.097118265951229
5.5,90,4.2,3,449,7,6.703401609603661
12.0,60,3.0,4,449,9,7.428941042902433
9.8,60,4.8,1,449,3,3.9290021517962006
7.0,70,4.8,1,449,3,5.609554429497919
6.9,55,4.8,3,449,7,3.9290021517962006
6.3,45,4.8,2,449,4,5.609554429497919
8.69,60,6.0,3,449,9,3.023717385504793
8.5,90,6.0,4,449,11,6.9247897538086844
3.35,40,0.0,2,449,4,7.338211880412269
5.2,46,3.3,4,450,6,5.277355542188235
8.9,60,1.5,1,450,4,7.212744123668926
6.5,54,1.5,2,450,7,9.235328482897971
4.3,50,3.0,4,450,6,5.609554429497919
6.95,80,4.8,3,450,8,4.486258207814924
4.5,50,3.3,2,450,4,7.0812657371717105
5.5,52,1.5,3,426,7,10.687319491831254
2.95,72,1.5,2,426,5,10.240431817143143
8.48,56,4.8,3,426,7,3.023717385504793
7.3,56,4.2,2,426,9,5.715927165201617
12.0,86,4.2,4,426,11,11.558449150912706
4.5,56,6.0,3,426,6,7.621127302391137
2.5,20,2.7,2,426,3,5.403038358733376
8.79,81,2.7,3,427,10,6.9247897538086844
13.5,72,4.8,2,427,12,7.245399020897859
4.2,45,6.0,2,427,4,4.064113191301924
13.5,72,3.0,2,427,12,7.245399020897859
2.69,100,1.5,1,427,3,12.925664769899278
